gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2246867661	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287774	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57002	11.91685	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287774				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:00:57.908Z		
2246867657	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287680	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.56435	11.92448	5.0						2018-09-06	6	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287680				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:01:17.254Z		
2246867647	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287727	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.56886	11.9273	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287727				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:55:51.042Z		
2246867642	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287804	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57102	11.92671	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287804				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:05:13.835Z		
2246867640	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287815	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57167	11.92294	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287815				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:06:03.335Z		
2246867639	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75288089	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.58784	11.92054	5.0						2018-09-03	3	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75288089				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:02:15.024Z		
2246867638	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287902	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.59166	11.90251	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287902				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:06:06.220Z		
2246867637	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287485	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Brännö-Styrsö_Äng1_16, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.6416	11.79132	5.0						2018-09-05	5	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287485				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:01:07.190Z		
2246867635	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287888	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.58665	11.90204	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287888				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T19:00:49.877Z		
2246867629	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75288047	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.58289	11.9212	5.0						2018-09-03	3	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75288047				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:57:19.521Z		
2246867626	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75288034	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.58225	11.92025	5.0						2018-09-03	3	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75288034				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:57:39.613Z		
2246867623	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:75287855	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stora Amundö och Billdals skärgård, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57398	11.91634	5.0						2018-09-04	4	9	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	75287855				CC0_1_0	Göteborgs Stad	Johanna Bergkvist			2025-07-26T18:57:31.309Z		
